Date.Time,SN_10779069.cal,SN_10487930,SN_10487931,SN_10487932,SN_10487933,SN_10487934,SN_10487935,SN_10487936,SN_10779056,SN_10779057,SN_10779058,SN_10779059,SN_10779060,SN_10779061,SN_10779062,SN_10779063,SN_10779064,SN_10779065,SN_10779067,SN_10779068.cal
12/30/15 15:00,25.137,25.089,25.04,25.089,25.089,25.065,25.089,25.04,25.089,25.089,25.089,25.137,25.113,25.113,25.113,25.089,25.113,25.04,25.113,25.137
12/30/15 15:15,25.113,25.089,25.04,25.089,25.089,25.065,25.089,25.04,25.089,25.089,25.089,25.137,25.089,25.113,25.089,25.089,25.113,25.04,25.113,25.137
12/30/15 15:30,25.113,25.065,25.016,25.065,25.089,25.065,25.065,25.016,25.065,25.065,25.089,25.113,25.089,25.089,25.089,25.089,25.113,25.016,25.113,25.113
12/30/15 15:45,25.089,25.04,25.016,25.04,25.065,25.04,25.04,24.992,25.04,25.04,25.065,25.089,25.065,25.089,25.065,25.065,25.089,24.992,25.089,25.089
12/30/15 16:00,25.065,25.016,24.968,25.016,25.016,24.992,25.016,24.968,25.016,25.016,25.04,25.065,25.04,25.04,25.04,25.04,25.065,24.992,25.065,25.065
12/30/15 16:15,25.016,24.992,24.944,24.992,24.992,24.968,24.968,24.944,24.992,24.968,24.992,25.016,24.992,25.016,24.992,24.992,25.016,24.944,25.016,25.04
12/30/15 16:30,24.968,24.944,24.895,24.944,24.944,24.919,24.919,24.895,24.944,24.919,24.944,24.992,24.944,24.968,24.944,24.944,24.992,24.895,24.968,24.992
12/30/15 16:45,24.944,24.895,24.847,24.895,24.895,24.895,24.895,24.847,24.895,24.895,24.895,24.944,24.895,24.919,24.919,24.919,24.944,24.847,24.919,24.944
12/30/15 17:00,24.895,24.847,24.798,24.847,24.871,24.847,24.847,24.798,24.847,24.847,24.871,24.895,24.871,24.871,24.871,24.871,24.895,24.823,24.895,24.895
12/30/15 17:15,24.847,24.798,24.774,24.823,24.823,24.798,24.798,24.774,24.823,24.798,24.823,24.847,24.823,24.847,24.823,24.823,24.847,24.774,24.847,24.871
12/30/15 17:30,24.798,24.774,24.726,24.774,24.774,24.75,24.774,24.726,24.774,24.75,24.774,24.823,24.774,24.798,24.798,24.798,24.798,24.726,24.798,24.823
12/30/15 17:45,24.774,24.726,24.677,24.726,24.75,24.726,24.726,24.677,24.726,24.726,24.75,24.774,24.75,24.75,24.75,24.75,24.774,24.677,24.75,24.774
12/30/15 18:00,24.726,24.677,24.629,24.677,24.702,24.677,24.677,24.629,24.677,24.677,24.702,24.726,24.702,24.702,24.702,24.702,24.726,24.653,24.702,24.726
12/30/15 18:15,24.653,24.629,24.581,24.629,24.629,24.605,24.605,24.581,24.629,24.605,24.629,24.653,24.629,24.653,24.629,24.629,24.653,24.581,24.653,24.677
12/30/15 18:30,24.605,24.557,24.532,24.557,24.581,24.557,24.557,24.508,24.557,24.557,24.581,24.605,24.581,24.605,24.581,24.581,24.605,24.532,24.605,24.605
12/30/15 18:45,24.557,24.508,24.484,24.508,24.532,24.508,24.508,24.46,24.508,24.508,24.532,24.557,24.532,24.557,24.532,24.532,24.557,24.484,24.557,24.557
12/30/15 19:00,24.508,24.484,24.436,24.484,24.484,24.46,24.46,24.436,24.484,24.46,24.484,24.532,24.484,24.508,24.508,24.508,24.532,24.436,24.508,24.532
12/30/15 19:15,24.484,24.436,24.412,24.436,24.46,24.436,24.436,24.388,24.436,24.436,24.46,24.484,24.46,24.484,24.46,24.46,24.484,24.412,24.484,24.484
12/30/15 19:30,24.46,24.412,24.363,24.412,24.412,24.412,24.412,24.363,24.412,24.412,24.412,24.46,24.436,24.436,24.436,24.436,24.46,24.363,24.436,24.46
12/30/15 19:45,24.436,24.388,24.339,24.388,24.388,24.388,24.388,24.339,24.388,24.388,24.412,24.436,24.412,24.412,24.412,24.412,24.436,24.339,24.412,24.436
12/30/15 20:00,24.412,24.363,24.315,24.363,24.363,24.363,24.363,24.315,24.363,24.363,24.363,24.412,24.388,24.388,24.388,24.388,24.412,24.315,24.388,24.412
12/30/15 20:15,24.388,24.339,24.291,24.339,24.339,24.339,24.339,24.291,24.339,24.339,24.339,24.388,24.363,24.363,24.363,24.363,24.388,24.291,24.363,24.388
12/30/15 20:30,24.363,24.315,24.267,24.315,24.315,24.315,24.315,24.267,24.315,24.315,24.315,24.363,24.339,24.339,24.339,24.339,24.363,24.267,24.339,24.363
12/30/15 20:45,24.339,24.291,24.243,24.291,24.315,24.291,24.291,24.243,24.291,24.291,24.315,24.339,24.315,24.315,24.315,24.315,24.339,24.267,24.315,24.339
12/30/15 21:00,24.315,24.267,24.243,24.291,24.291,24.267,24.267,24.219,24.267,24.267,24.291,24.315,24.291,24.315,24.291,24.291,24.315,24.243,24.315,24.339
