Plot Title: Cold_L6_10779060,,,,,,
#,"Date Time, GMT-10:00","Temp, °C (LGR S/N: 10779060, SEN S/N: 10779060)",Coupler Detached (LGR S/N: 10779060),Coupler Attached (LGR S/N: 10779060),Host Connected (LGR S/N: 10779060),End Of File (LGR S/N: 10779060)
1,6/26/19 15:15,24.726,Logged,,,
2,6/26/19 15:30,24.677,,,,
3,6/26/19 15:45,24.653,,24.05075207,,
4,6/26/19 16:00,24.605,,,,
5,6/26/19 16:15,24.557,,,,
6,6/26/19 16:30,24.508,,,,
7,6/26/19 16:45,24.46,,,,
8,6/26/19 17:00,24.46,,,,
9,6/26/19 17:15,24.508,,,,
10,6/26/19 17:30,24.484,,,,
11,6/26/19 17:45,24.484,,,,
12,6/26/19 18:00,24.46,,,,
13,6/26/19 18:15,24.412,,,,
14,6/26/19 18:30,24.388,,,,
15,6/26/19 18:45,24.363,,,,
16,6/26/19 19:00,24.339,,,,
17,6/26/19 19:15,24.315,,,,
18,6/26/19 19:30,24.315,,,,
19,6/26/19 19:45,24.315,,,,
20,6/26/19 20:00,24.291,,,,
21,6/26/19 20:15,24.291,,,,
22,6/26/19 20:30,24.267,,,,
23,6/26/19 20:45,24.267,,,,
24,6/26/19 21:00,24.267,,,,
25,6/26/19 21:15,24.267,,,,
26,6/26/19 21:30,24.243,,,,
27,6/26/19 21:45,24.243,,,,
28,6/26/19 22:00,24.243,,,,
29,6/26/19 22:15,24.243,,,,
30,6/26/19 22:30,24.219,,,,
31,6/26/19 22:45,24.219,,,,
32,6/26/19 23:00,24.219,,,,
33,6/26/19 23:15,24.195,,,,
34,6/26/19 23:30,24.195,,,,
35,6/26/19 23:45,24.171,,,,
36,6/27/19 00:00,24.171,,,,
37,6/27/19 00:15,24.171,,,,
38,6/27/19 00:30,24.146,,,,
39,6/27/19 00:45,24.146,,,,
40,6/27/19 01:00,24.146,,,,
41,6/27/19 01:15,24.122,,,,
42,6/27/19 01:30,24.122,,,,
43,6/27/19 01:45,24.122,,,,
44,6/27/19 02:00,24.122,,,,
45,6/27/19 02:15,24.122,,,,
46,6/27/19 02:30,24.098,,,,
47,6/27/19 02:45,24.098,,,,
48,6/27/19 03:00,24.098,,,,
49,6/27/19 03:15,24.098,,,,
50,6/27/19 03:30,24.098,,,,
51,6/27/19 03:45,24.074,,,,
52,6/27/19 04:00,24.074,,,,
53,6/27/19 04:15,24.05,,,,
54,6/27/19 04:30,24.05,,,,
55,6/27/19 04:45,24.026,,,,
56,6/27/19 05:00,24.026,,,,
57,6/27/19 05:15,24.026,,,,
58,6/27/19 05:30,24.026,,,,
59,6/27/19 05:45,24.05,,,,
60,6/27/19 06:00,24.05,,,,
61,6/27/19 06:15,24.074,,,,
62,6/27/19 06:30,24.074,,,,
63,6/27/19 06:45,24.098,,,,
64,6/27/19 07:00,24.122,,,,
65,6/27/19 07:15,24.122,,,,
66,6/27/19 07:30,24.122,,,,
67,6/27/19 07:45,24.146,,,,
68,6/27/19 08:00,24.146,,,,
69,6/27/19 08:15,24.146,,,,
70,6/27/19 08:30,24.171,,,,
71,6/27/19 08:45,24.195,,,,
72,6/27/19 09:00,24.195,,,,
73,6/27/19 09:15,24.219,,,,
74,6/27/19 09:30,24.219,,,,
75,6/27/19 09:45,24.219,,,,
76,6/27/19 10:00,24.219,,,,
77,6/27/19 10:15,24.219,,,,
78,6/27/19 10:30,24.219,,,,
79,6/27/19 10:45,24.243,,,,
80,6/27/19 11:00,24.243,,,,
81,6/27/19 11:15,24.267,,,,
82,6/27/19 11:30,24.291,,,,
83,6/27/19 11:45,24.291,,,,
84,6/27/19 12:00,24.315,,,,
85,6/27/19 12:15,24.339,,,,
86,6/27/19 12:30,24.339,,,,
87,6/27/19 12:45,24.363,,,,
88,6/27/19 13:00,24.339,,,,
89,6/27/19 13:15,24.363,,,,
90,6/27/19 13:30,24.363,,,,
91,6/27/19 13:45,24.363,,,,
92,6/27/19 14:00,24.363,,,,
93,6/27/19 14:15,24.363,,,,
94,6/27/19 14:30,24.412,,,,
95,6/27/19 14:45,24.436,,,,
96,6/27/19 15:00,24.46,,,,
97,6/27/19 15:15,24.484,,,,
98,6/27/19 15:30,24.532,,,,
99,6/27/19 15:45,24.581,,,,
100,6/27/19 16:00,24.629,,,,
101,6/27/19 16:15,24.653,,,,
102,6/27/19 16:30,24.653,,,,
103,6/27/19 16:45,24.702,,,,
104,6/27/19 17:00,24.75,,,,
105,6/27/19 17:15,24.75,,,,
106,6/27/19 17:30,24.75,,,,
107,6/27/19 17:45,24.726,,,,
108,6/27/19 18:00,24.75,,,,
109,6/27/19 18:15,24.726,,,,
110,6/27/19 18:30,24.726,,,,
111,6/27/19 18:45,24.702,,,,
112,6/27/19 19:00,24.702,,,,
113,6/27/19 19:15,24.702,,,,
114,6/27/19 19:30,24.702,,,,
115,6/27/19 19:45,24.702,,,,
116,6/27/19 20:00,24.702,,,,
117,6/27/19 20:15,24.726,,,,
118,6/27/19 20:30,24.75,,,,
119,6/27/19 20:45,24.726,,,,
120,6/27/19 21:00,24.726,,,,
121,6/27/19 21:15,24.726,,,,
122,6/27/19 21:30,24.726,,,,
123,6/27/19 21:45,24.702,,,,
124,6/27/19 22:00,24.677,,,,
125,6/27/19 22:15,24.677,,,,
126,6/27/19 22:30,24.677,,,,
127,6/27/19 22:45,24.653,,,,
128,6/27/19 23:00,24.629,,,,
129,6/27/19 23:15,24.629,,,,
130,6/27/19 23:30,24.605,,,,
131,6/27/19 23:45,24.581,,,,
132,6/28/19 00:00,24.557,,,,
133,6/28/19 00:15,24.557,,,,
134,6/28/19 00:30,24.557,,,,
135,6/28/19 00:45,24.532,,,,
136,6/28/19 01:00,24.557,,,,
137,6/28/19 01:15,24.557,,,,
138,6/28/19 01:30,24.581,,,,
139,6/28/19 01:45,24.605,,,,
140,6/28/19 02:00,24.629,,,,
141,6/28/19 02:15,24.605,,,,
142,6/28/19 02:30,24.629,,,,
143,6/28/19 02:45,24.629,,,,
144,6/28/19 03:00,24.629,,,,
145,6/28/19 03:15,24.629,,,,
146,6/28/19 03:30,24.629,,,,
147,6/28/19 03:45,24.629,,,,
148,6/28/19 04:00,24.629,,,,
149,6/28/19 04:15,24.629,,,,
150,6/28/19 04:30,24.605,,,,
151,6/28/19 04:45,24.629,,,,
152,6/28/19 05:00,24.629,,,,
153,6/28/19 05:15,24.629,,,,
154,6/28/19 05:30,24.629,,,,
155,6/28/19 05:45,24.605,,,,
156,6/28/19 06:00,24.581,,,,
157,6/28/19 06:15,24.581,,,,
158,6/28/19 06:30,24.581,,,,
159,6/28/19 06:45,24.581,,,,
160,6/28/19 07:00,24.557,,,,
161,6/28/19 07:15,24.581,,,,
162,6/28/19 07:30,24.557,,,,
163,6/28/19 07:45,24.581,,,,
164,6/28/19 08:00,24.557,,,,
165,6/28/19 08:15,24.557,,,,
166,6/28/19 08:30,24.605,,,,
167,6/28/19 08:45,24.605,,,,
168,6/28/19 09:00,24.653,,,,
169,6/28/19 09:15,24.653,,,,
170,6/28/19 09:30,24.702,,,,
171,6/28/19 09:45,24.726,,,,
172,6/28/19 10:00,24.702,,,,
173,6/28/19 10:15,24.46,,,,
174,6/28/19 10:30,24.629,,,,
175,6/28/19 10:45,24.823,,,,
176,6/28/19 11:00,24.919,,,,
177,6/28/19 11:15,24.992,,,,
178,6/28/19 11:30,25.016,,,,
179,6/28/19 11:45,25.283,,,,
180,6/28/19 12:00,25.258,,,,
181,6/28/19 12:15,25.089,,,,
182,6/28/19 12:30,24.436,,,,
183,6/28/19 12:45,24.629,,,,
184,6/28/19 13:00,25.307,,,,
185,6/28/19 13:15,25.355,,,,
186,6/28/19 13:30,25.623,,,,
187,6/28/19 13:45,25.744,,,,
188,6/28/19 14:00,25.647,,,,
189,6/28/19 14:15,25.453,,,,
190,6/28/19 14:30,25.113,,,,
191,6/28/19 14:45,25.016,,,,
192,6/28/19 15:00,24.919,,,,
193,6/28/19 15:15,24.677,,,,
194,6/28/19 15:30,24.581,,,,
195,6/28/19 15:45,24.508,,,,
196,6/28/19 16:00,24.412,,,,
197,6/28/19 16:15,24.388,,,,
198,6/28/19 16:30,24.267,,,,
199,6/28/19 16:45,24.098,,,,
200,6/28/19 17:00,23.881,,,,
201,6/28/19 17:15,23.833,,,,
202,6/28/19 17:30,23.497,,,,
