Tank,Treatment,Chamber,Plug,Starting Larvae,Day,Total,Aggregate,Individual,Notes
Tank1,Ambient,A01,353,100,1,0,0,0,
Tank1,Ambient,A01,562A,100,1,0,0,0,
Tank1,Ambient,A01,571A,100,1,2,0,2,top
Tank1,Ambient,A02,512A,100,1,1,0,1,top
Tank1,Ambient,A02,557,100,1,0,0,0,
Tank1,Ambient,A02,1074,100,1,0,0,0,
Tank1,Ambient,A03,303,100,1,0,0,0,
Tank1,Ambient,A03,614A,100,1,4,0,3,3 top aggregate; 1 side
Tank1,Ambient,A03,1088,100,1,0,0,0,
Tank1,Ambient,A04,511A,100,1,0,0,0,
Tank1,Ambient,A04,659,100,1,0,0,0,
Tank1,Ambient,A04,887,100,1,2,0,2,top 
Tank1,Ambient,A05,598,100,2,0,0,0,
Tank1,Ambient,A05,639A,100,2,2,0,2,top; very close to one another but two seperate individuals
Tank1,Ambient,A05,823A,100,2,0,0,0,
Tank1,Ambient,A06,322,100,2,1,0,1,top; lots of pre-settlment death
Tank1,Ambient,A06,593,100,2,8,4,4,top; lots of pre-settlment death
Tank1,Ambient,A06,819,100,2,1,0,1,top; 3 nearly settled but wobbly
Tank1,Ambient,A07,495,100,2,0,0,0,
Tank1,Ambient,A07,527,100,2,0,0,0,
Tank1,Ambient,A07,821,100,2,1,0,1,bottom
Tank1,Ambient,A08,334,100,2,0,0,0,top; 1 gloppy
Tank1,Ambient,A08,591,100,2,2,0,2,top and bottom
Tank1,Ambient,A08,1180,100,2,0,0,0,1 gloppy on top; 1 larvae
Tank2,Ambient,A09,520A,100,1,0,0,0,
Tank2,Ambient,A09,524A,100,1,1,0,1,side of top
Tank2,Ambient,A09,1158,100,1,0,0,0,
Tank2,Ambient,A10,609,100,1,0,0,0,
Tank2,Ambient,A10,638,100,1,0,0,0,
Tank2,Ambient,A10,1087,100,1,1,0,1,top
Tank2,Ambient,A11,307,100,1,0,0,0,
Tank2,Ambient,A11,883,100,1,0,0,0,
Tank2,Ambient,A11,1119,100,1,1,0,1,top
Tank2,Ambient,A12,490,100,1,1,0,1,bottom
Tank2,Ambient,A12,669,100,1,1,0,1,top 
Tank2,Ambient,A12,810,100,1,1,0,1,top
Tank2,Ambient,A13,459,100,2,0,0,0,
Tank2,Ambient,A13,868,100,2,3,0,3,"top, in grooves"
Tank2,Ambient,A13,1062,100,2,0,0,0,
Tank2,Ambient,A14,629,100,2,7,6,1,top
Tank2,Ambient,A14,817,100,2,6,0,6,"4 top, 1 base, 1 under top"
Tank2,Ambient,A14,1140,100,2,2,0,2,top
Tank2,Ambient,A15,325,100,2,5,4,1,top
Tank2,Ambient,A15,631,100,2,0,0,0,
Tank2,Ambient,A15,1065,100,2,20,16,4,top
Tank2,Ambient,A16,538,100,2,13,0,13,top
Tank2,Ambient,A16,794,100,2,3,0,3,top
Tank2,Ambient,A16,824,100,2,0,0,0,
Tank3,Ambient,A17,439,100,1,0,0,0,
Tank3,Ambient,A17,860,100,1,0,0,0,
Tank3,Ambient,A17,885,100,1,0,0,0,
Tank3,Ambient,A18,434,100,1,0,0,0,
Tank3,Ambient,A18,503,100,1,1,0,1,top
Tank3,Ambient,A18,630,100,1,0,0,0,
Tank3,Ambient,A19,506,100,1,10,0,10,top
Tank3,Ambient,A19,516A,100,1,1,0,1,top
Tank3,Ambient,A19,563,100,1,1,0,1,top
Tank3,Ambient,A20,512B,100,1,1,0,1,top
Tank3,Ambient,A20,552A,100,1,0,0,0,
Tank3,Ambient,A20,880,100,1,0,0,0,
Tank3,Ambient,A21,1123,100,2,0,0,0,
Tank3,Ambient,A21,1125,100,2,0,0,0,
Tank3,Ambient,A21,1155,100,2,0,0,0,
Tank3,Ambient,A22,313,100,2,0,0,0,
Tank3,Ambient,A22,522,100,2,1,0,1,top
Tank3,Ambient,A22,569,100,2,0,0,0,
Tank3,Ambient,A23,585,100,2,0,0,0,
Tank3,Ambient,A23,849,100,2,0,0,0,
Tank3,Ambient,A23,1141,100,2,0,0,0,
Tank3,Ambient,A24,330,100,2,0,0,0,
Tank3,Ambient,A24,788,100,2,2,0,2,"1 top, 1 side"
Tank3,Ambient,A24,854,100,2,0,0,0,
Tank4,Ambient,A25,78,100,1,1,0,1,top
Tank4,Ambient,A25,867,100,1,0,0,0,
Tank4,Ambient,A25,979,100,1,1,0,1,bottom
Tank4,Ambient,A26,546B,100,1,0,0,0,
Tank4,Ambient,A26,559,100,1,17,12,5,top; 3 agg. top 3+
Tank4,Ambient,A26,1068,100,1,2,0,2,top
Tank4,Ambient,A27,825,100,1,0,0,0,
Tank4,Ambient,A27,844,100,1,0,0,0,
Tank4,Ambient,A27,970,100,1,2,0,2,"1 top, 1 side"
Tank4,Ambient,A28,231,100,1,1,0,1,top
Tank4,Ambient,A28,845,100,1,2,0,2,top
Tank4,Ambient,A28,1073,100,1,0,0,0,
Tank4,Ambient,A29,468,100,2,0,0,0,
Tank4,Ambient,A29,622B,100,2,0,0,0,
Tank4,Ambient,A29,823B,100,2,11,0,11,"10 top, 1 underside of top"
Tank4,Ambient,A30,575B,100,2,2,0,2,"top, very small"
Tank4,Ambient,A30,576,100,2,12,6,6,top 
Tank4,Ambient,A30,595,100,2,2,0,2,top
Tank4,Ambient,A31,310,100,2,1,0,0,top
Tank4,Ambient,A31,487,100,2,1,0,1,top
Tank4,Ambient,A31,865,100,2,1,0,1,top
Tank4,Ambient,A32,564,100,2,2,0,2,top
Tank4,Ambient,A32,608,100,2,5,0,5,top
Tank4,Ambient,A32,816,100,2,2,0,2,top
Tank1,Cold,C01,351,100,1,1,0,1,1 top; 1 top blobby and unorganized
Tank1,Cold,C01,575A,100,1,0,0,0,
Tank1,Cold,C01,871,100,1,2,0,2,
Tank1,Cold,C02,441,100,1,0,0,0,
Tank1,Cold,C02,612,100,1,1,0,1,top
Tank1,Cold,C02,786,100,1,1,0,1,towards top
Tank1,Cold,C03,248,100,1,0,0,0,
Tank1,Cold,C03,634,100,1,3,0,0,2 on underside of plug top; 1 on top
Tank1,Cold,C03,1165,100,1,0,0,0,
Tank1,Cold,C04,346,100,1,0,0,0,
Tank1,Cold,C04,540A,100,1,0,0,0,
Tank1,Cold,C04,850,100,1,0,0,0,
Tank1,Cold,C05,806,100,2,1,0,1,top
Tank1,Cold,C05,873A,100,2,1,0,1,top; 1 unformed/ unsettled
Tank1,Cold,C05,893,100,2,1,0,1,1 gloppy/ top
Tank1,Cold,C06,637,100,2,0,0,0,
Tank1,Cold,C06,792,100,2,0,0,0,
Tank1,Cold,C06,839,100,2,0,0,0,
Tank1,Cold,C07,584A,100,2,0,0,0,
Tank1,Cold,C07,829,100,2,1,0,1,top
Tank1,Cold,C07,1147,100,2,3,0,3,top
Tank1,Cold,C08,643A,100,2,0,0,0,
Tank1,Cold,C08,856,100,2,0,0,0,
